"name","color"
"arulesViz","#216e89"
"arules","#d88d61"
"asht","#9bd6b1"
"exact2x2","#8f5f9b"
"exactci","#1b401a"
"bpcp","#4e4593"
"coin","#ec9e60"
"bayesSurv","#581150"
"smoothSurv","#695e18"
"Binarize","#0d4b24"
"diptest","#b0f25d"
"BiTrinA","#0c04d2"
"ClusteredMutations","#6db360"
"seriation","#85008d"
"ClusterStability","#f069ee"
"WeightedCluster","#afacca"
"DCchoice","#aa0717"
"interval","#9f9d00"
"Formula","#61b60b"
"DendSer","#194882"
"gclus","#012238"
"desire","#7f2542"
"loglognorm","#465960"
"ssanv","#ba31ea"
"FHtest","#b945b0"
"KMsurv","#a58ed8"
"icensBKL","#98b00e"
"Icens","#dd7359"
"perm","#e5eee7"
"MLEcens","#4feff6"
"lifecourse","#44aac6"
"TraMineR","#63c980"
"MmgraphR","#e11b29"
"colorspace","#b963fd"
"MRH","#325785"
"nivm","#e21149"
"PBSadmb","#3312db"
"PBSmodelling","#26fa8c"
"pCalibrate","#c513ef"
"epitools","#4277b2"
"MCMCpack","#4f05f9"
"PredictABEL","#42b1e6"
"Hmisc","#6dd6fc"
"ROCR","#f828b3"
"pseudo","#a4eea4"
"geepack","#003757"
"PST","#9a1d3f"
"RColorBrewer","#94deb4"
"rPowerSampleSize","#92ad65"
"mvtnorm","#47b8f5"
"scagnostics","#2ec0f7"
"rJava","#b281cb"
"TraMineRextras","#adaa5a"
"scatterplot3d","#69322a"
"vcd","#9695fa"
"igraph","#4c504a"
"DT","#cf5845"
"plotly","#22e81f"
"visNetwork","#9618cb"
"ASSOCShiny","#2aac52"
"autocogs","#d11456"
"biva","#2ec859"
"shiny","#e8b07c"
"shinyAce","#f2555b"
"rpivotTable","#356078"
"corrgram","#7ffe1c"
"BTR","#d79fc2"
"catfun","#a4e952"
"CMShiny","#613f6c"
"rmarkdown","#60d71e"
"shinyMatrix","#f88494"
"caret","#2813d2"
"e1071","#dc460f"
"cohorttools","#bf4ed8"
"compareGroups","#52bd51"
"condvis2","#dab0c5"
"ggplot2","#e5cefb"
"scales","#7ae7ab"
"plyr","#49ceb6"
"kmed","#ce348b"
"corrr","#f03374"
"CTAShiny","#0d3a4f"
"DBHC","#71c347"
"seqHMM","#d23ec9"
"reshape2","#3784d5"
"DeLorean","#1a5d9d"
"dsrTest","#d1d030"
"DySeq","#ce1623"
"fpc","#6f8de8"
"FSA","#84727c"
"car","#8582ea"
"dplyr","#018bd9"
"dunn.test","#d239ca"
"gplots","#91cbf5"
"lmtest","#b82285"
"plotrix","#653ff2"
"sciplot","#e909e1"
"withr","#ca3c92"
"heatmaply","#4eb603"
"hilldiv","#02dad8"
"TeachingDemos","#3bb3e3"
"gtools","#e75576"
"LSDsensitivity","#4cdeb1"
"matie","#8665d4"
"mbgraphic","#8af983"
"energy","#245d64"
"hexbin","#23ad02"
"magrittr","#382c91"
"gridExtra","#acb770"
"GGally","#557284"
"Rcpp","#9489dd"
"MEDseq","#295ee2"
"matrixStats","#a59110"
"stringdist","#3f51da"
"MLRShiny","#771b28"
"psych","#57af17"
"QuantPsyc","#ad88ae"
"forecast","#eabae3"
"MLRShiny2","#714e0f"
"march","#daa1cc"
"msm","#365581"
"morse","#418b0e"
"mousetrap","#b80e01"
"coda","#d59e36"
"multicon","#cfdb00"
"multimode","#c487e1"
"NSM3","#dee7e2"
"XML","#d79712"
"pergola","#4353b6"
"PhyInformR","#5b0cc6"
"PROBShiny","#9fec76"
"LaplacesDemon","#10d93d"
"pubh","#71e530"
"PUPAIM","#b2f9aa"
"Metrics","#d318eb"
"minpack.lm","#df1b8b"
"RMaCzek","#3d4cc0"
"GA","#0f9df4"
"htmlwidgets","#ca1785"
"TSP","#c66f3b"
"qap","#0363b1"
"dendextend","#2b4aa1"
"registry","#55a35a"
"shazam","#0bf25b"
"Spectrum","#e8160a"
"STAT","#c2baa9"
"psycho","#a12eae"
"survMisc","#cc18d7"
"TELP","#27ce1f"
"TIMP","#1c6e5a"
"ufs","#ad39f2"
"userfriendlyscience","#d4f810"
